Dataset,Model,Accuracy,Precision,Recall,F1,FPR,FNR
CSE-CIC-IDS-2018,ASRRL (Ours),0.9814666666666667,0.9427549194991055,0.933569530558016,0.9381397418780596,0.010045518756867053,0.06643046944198405
CSE-CIC-IDS-2018,Random Forest,0.9853333333333333,0.95818345323741,0.9437555358724535,0.9509147701918785,0.0072986972217862186,0.0562444641275465
CSE-CIC-IDS-2018,XGBoost,0.9847333333333333,0.9535091640590077,0.9446412754650133,0.9490545050055618,0.00816198398995448,0.05535872453498671
CSE-CIC-IDS-2018,LightGBM,0.9842666666666666,0.9525514771709938,0.9424269264836138,0.9474621549421193,0.008318945220530529,0.05757307351638618
UNSW-NB15,ASRRL (Ours),0.9831333333333333,0.9834266517357223,0.9608315098468271,0.9719977863862757,0.007094918504314478,0.039168490153172864
UNSW-NB15,Random Forest,0.9867333333333334,0.9840531561461794,0.9722100656455143,0.9780957622454596,0.0069031639501438155,0.027789934354485776
UNSW-NB15,XGBoost,0.9860666666666666,0.9816655621824608,0.9724288840262582,0.9770253929866989,0.007957813998082455,0.027571115973741796
UNSW-NB15,LightGBM,0.9854666666666667,0.9801412180052956,0.9719912472647703,0.9760492199516589,0.00862895493767977,0.02800875273522976
CIC-IDS2017,ASRRL (Ours),0.9791333333333333,0.9753173483779972,0.9192422731804586,0.9464499572284003,0.005837711617046118,0.08075772681954138
CIC-IDS2017,Random Forest,0.9823333333333333,0.973103448275862,0.9378531073446328,0.9551531562024032,0.006504878658994246,0.062146892655367235
CIC-IDS2017,XGBoost,0.9815333333333334,0.965258855585831,0.9418411432369558,0.9534062237174096,0.00850637978483863,0.0581588567630442
CIC-IDS2017,LightGBM,0.9819333333333333,0.9675546448087432,0.9415088069125955,0.9543540508674415,0.007922608623134018,0.058491193087404456
