Dataset,Configuration,Buffer_Mode,Threshold_Mode,F1,Accuracy,Precision,Recall,FPR,FNR,Final_Buffer,Final_Threshold
CSE-CIC-IDS-2018,ASRRL Dynamic (Buffer+Threshold),dynamic,dynamic,0.9982532751091703,0.9989333333333333,0.997164667393675,0.999344262295082,0.0012470023980815348,0.0006557377049180328,40,0.7
CSE-CIC-IDS-2018,Dynamic Buffer Fixed Threshold,dynamic,fixed,0.9980345053505132,0.9988,0.9971634300676413,0.9989071038251366,0.0012470023980815348,0.001092896174863388,40,0.5
CSE-CIC-IDS-2018,Fixed Buffer Dynamic Threshold,fixed,dynamic,0.9982532751091703,0.9989333333333333,0.997164667393675,0.999344262295082,0.0012470023980815348,0.0006557377049180328,50,0.7
CSE-CIC-IDS-2018,"Fixed Small (buf=20, th=0.5)",fixed,fixed,0.9980345053505132,0.9988,0.9971634300676413,0.9989071038251366,0.0012470023980815348,0.001092896174863388,20,0.5
CSE-CIC-IDS-2018,"Fixed Medium (buf=50, th=0.5)",fixed,fixed,0.9980345053505132,0.9988,0.9971634300676413,0.9989071038251366,0.0012470023980815348,0.001092896174863388,50,0.5
CSE-CIC-IDS-2018,"Fixed Large (buf=100, th=0.5)",fixed,fixed,0.9980345053505132,0.9988,0.9971634300676413,0.9989071038251366,0.0012470023980815348,0.001092896174863388,100,0.5
CSE-CIC-IDS-2018,Fixed buf=50 th=0.3 (sensitive),fixed,fixed,0.9982532751091703,0.9989333333333333,0.997164667393675,0.999344262295082,0.0012470023980815348,0.0006557377049180328,50,0.3
CSE-CIC-IDS-2018,Fixed buf=50 th=0.7 (strict),fixed,fixed,0.9982532751091703,0.9989333333333333,0.997164667393675,0.999344262295082,0.0012470023980815348,0.0006557377049180328,50,0.7
CSE-CIC-IDS-2018,Random Forest,static,static,0.9994534921849383,0.9996666666666667,0.9995627459554001,0.999344262295082,0.00019184652278177457,0.0006557377049180328,N/A,N/A
CSE-CIC-IDS-2018,XGBoost,static,static,0.9995629370629371,0.9997333333333334,0.9993445488311121,0.9997814207650273,0.00028776978417266187,0.0002185792349726776,N/A,N/A
CSE-CIC-IDS-2018,LightGBM,static,static,0.9992350562780024,0.9995333333333334,0.9991258741258742,0.999344262295082,0.00038369304556354914,0.0006557377049180328,N/A,N/A
CSE-CIC-IDS-2018,SVM,static,static,0.9954198473282443,0.9972,0.9932535364526659,0.9975956284153006,0.002973621103117506,0.0024043715846994535,N/A,N/A
CSE-CIC-IDS-2018,KNN,static,static,0.9985784581738655,0.9991333333333333,0.9991247264770241,0.9980327868852459,0.00038369304556354914,0.0019672131147540984,N/A,N/A
CSE-CIC-IDS-2018,Naive Bayes,static,static,0.9678923386669492,0.9798,0.9393253805018511,0.9982513661202186,0.028297362110311752,0.0017486338797814208,N/A,N/A
CSE-CIC-IDS-2018,MLP,static,static,0.9991254919108001,0.9994666666666666,0.999343975508419,0.9989071038251366,0.00028776978417266187,0.001092896174863388,N/A,N/A
